,Winery,Year,Wine ID,Wine,Rating,num_review,price,Country,Region
8132,Sangenís I Vaqué,2023,3495874,Garbinada 2023,3.6,403,11.99,España,Priorato
8133,Tianna Negre,2022,2543685,Km.1 Tinto 2022,3.5,208,11.99,España,Plà i Llevant
8134,Mas Oller,2023,1177915,Pur 2023,3.7,2452,11.99,España,Cataluña
8135,Solergibert,2019,1638099,Reserva Merlot 2019,3.6,130,11.99,España,Pla de Bages
8136,Juan Gil,2021,5282020,Jumilla Silver Label 2021,4.0,3489,11.99,España,Jumilla
8137,Domblasco,2016,3052036,Tinto 2016,3.7,59,12.0,España,Extremadura
8138,Bodegas Valparaíso,2021,1187536,Crianza 2021,3.9,102,12.0,España,Ribera del Duero
8139,Bodegas Peñafiel,2021,8929613,Alma Serena Crianza 2021,4.1,26,12.0,España,Ribera del Duero
8140,Familia Torres,2021,2651,Atrium Merlot 2021,3.8,159,12.0,España,Penedès
8141,Bodegas Cosme Palacio,2018,2328702,Glorioso Rioja Reserva 2018,4.0,666,12.0,España,Rioja
8142,Coca i Fitó,2019,1496156,Tocat de l'Ala Negre 2019,3.9,178,12.0,España,Empordà
8143,Jiménez-Landi,2021,6587498,El Corralon 2021,3.9,183,12.0,España,Méntrida
8144,Fabregas,2020,6411375,Familia Moristel 2020,3.6,25,12.0,España,Somontano
8145,Azul y Garanza,2019,2655286,Seis 2019,3.9,25,12.0,España,Navarra
8146,Clos Galena,2020,11077460,Moments del Montsant 2020,3.8,126,12.0,España,Montsant
8147,Hermanos Peciña,2018,1146401,Señorío de P. Peciña Crianza 2018,3.9,123,12.0,España,Rioja
8148,Bodegas Garcia de Lara,2021,12229018,Finca Villalobillos Tinto de la Pampana Blanca 2021,3.6,37,12.0,España,Castilla
8149,Monasterio de Las Vinas,2016,6506050,Special Selection Old Vine Cariñena 2016,3.5,1725,12.0,España,Cariñena
8150,Covila,2018,1322231,II Reserva 2018,4.1,91,11.95,España,Rioja
8151,Bodegas Valdelana,2019,1173873,Familia Valdelana Reserva 2019,4.1,35,11.95,España,Rioja
8152,Montecillo,2016,1100225,Reserva 2016,3.9,324,11.95,España,Rioja
8153,Ramón Bilbao,2018,77022,Rioja Reserva (Tempranillo) 2018,4.1,2403,11.95,España,Rioja
8154,Matsu,2022,1136746,El Recio 2022,4.0,501,11.96,España,Toro
8155,Lafou,2019,2040817,El Sender 2019,3.9,640,11.98,España,Terra Alta
8156,Bodegas Valdemar,2016,15488,Conde de Valdemar Reserva 2016,3.9,363,11.99,España,Rioja
8157,Sangenís I Vaqué,2023,3495874,Garbinada 2023,3.6,403,11.99,España,Priorato
8158,Tianna Negre,2022,2543685,Km.1 Tinto 2022,3.5,208,11.99,España,Plà i Llevant
8159,Mas Oller,2023,1177915,Pur 2023,3.7,2452,11.99,España,Cataluña
8160,Solergibert,2019,1638099,Reserva Merlot 2019,3.6,130,11.99,España,Pla de Bages
8161,Juan Gil,2021,5282020,Jumilla Silver Label 2021,4.0,3489,11.99,España,Jumilla
8162,Domblasco,2016,3052036,Tinto 2016,3.7,59,12.0,España,Extremadura
8163,Bodegas Peñafiel,2021,8929613,Alma Serena Crianza 2021,4.1,26,12.0,España,Ribera del Duero
8164,Bodegas Valparaíso,2021,1187536,Crianza 2021,3.9,102,12.0,España,Ribera del Duero
8165,Familia Torres,2021,2651,Atrium Merlot 2021,3.8,159,12.0,España,Penedès
8166,Bodegas Cosme Palacio,2018,2328702,Glorioso Rioja Reserva 2018,4.0,666,12.0,España,Rioja
8167,Coca i Fitó,2019,1496156,Tocat de l'Ala Negre 2019,3.9,178,12.0,España,Empordà
8168,Jiménez-Landi,2021,6587498,El Corralon 2021,3.9,183,12.0,España,Méntrida
8169,Fabregas,2020,6411375,Familia Moristel 2020,3.6,25,12.0,España,Somontano
8170,Azul y Garanza,2019,2655286,Seis 2019,3.9,25,12.0,España,Navarra
8171,Clos Galena,2020,11077460,Moments del Montsant 2020,3.8,126,12.0,España,Montsant
8172,Hermanos Peciña,2018,1146401,Señorío de P. Peciña Crianza 2018,3.9,123,12.0,España,Rioja
8173,Bodegas Garcia de Lara,2021,12229018,Finca Villalobillos Tinto de la Pampana Blanca 2021,3.6,37,12.0,España,Castilla
8174,Monasterio de Las Vinas,2016,6506050,Special Selection Old Vine Cariñena 2016,3.5,1725,12.0,España,Cariñena
8175,Covila,2018,1322231,II Reserva 2018,4.1,91,11.95,España,Rioja
8176,Bodegas Valdelana,2019,1173873,Familia Valdelana Reserva 2019,4.1,35,11.95,España,Rioja
8177,Montecillo,2016,1100225,Reserva 2016,3.9,324,11.95,España,Rioja
8178,Ramón Bilbao,2018,77022,Rioja Reserva (Tempranillo) 2018,4.1,2403,11.95,España,Rioja
8179,Matsu,2022,1136746,El Recio 2022,4.0,501,11.96,España,Toro
8180,Lafou,2019,2040817,El Sender 2019,3.9,640,11.98,España,Terra Alta
8181,Bodegas Valdemar,2016,15488,Conde de Valdemar Reserva 2016,3.9,363,11.99,España,Rioja
8182,Sangenís I Vaqué,2023,3495874,Garbinada 2023,3.6,403,11.99,España,Priorato
8183,Tianna Negre,2022,2543685,Km.1 Tinto 2022,3.5,208,11.99,España,Plà i Llevant
8184,Mas Oller,2023,1177915,Pur 2023,3.7,2452,11.99,España,Cataluña
8185,Solergibert,2019,1638099,Reserva Merlot 2019,3.6,130,11.99,España,Pla de Bages
8186,Juan Gil,2021,5282020,Jumilla Silver Label 2021,4.0,3489,11.99,España,Jumilla
8187,Domblasco,2016,3052036,Tinto 2016,3.7,59,12.0,España,Extremadura
8188,Bodegas Valparaíso,2021,1187536,Crianza 2021,3.9,102,12.0,España,Ribera del Duero
8189,Bodegas Peñafiel,2021,8929613,Alma Serena Crianza 2021,4.1,26,12.0,España,Ribera del Duero
8190,Familia Torres,2021,2651,Atrium Merlot 2021,3.8,159,12.0,España,Penedès
8191,Bodegas Cosme Palacio,2018,2328702,Glorioso Rioja Reserva 2018,4.0,666,12.0,España,Rioja
8192,Coca i Fitó,2019,1496156,Tocat de l'Ala Negre 2019,3.9,178,12.0,España,Empordà
8193,Jiménez-Landi,2021,6587498,El Corralon 2021,3.9,183,12.0,España,Méntrida
8194,Fabregas,2020,6411375,Familia Moristel 2020,3.6,25,12.0,España,Somontano
8195,Azul y Garanza,2019,2655286,Seis 2019,3.9,25,12.0,España,Navarra
8196,Clos Galena,2020,11077460,Moments del Montsant 2020,3.8,126,12.0,España,Montsant
8197,Hermanos Peciña,2018,1146401,Señorío de P. Peciña Crianza 2018,3.9,123,12.0,España,Rioja
8198,Bodegas Garcia de Lara,2021,12229018,Finca Villalobillos Tinto de la Pampana Blanca 2021,3.6,37,12.0,España,Castilla
8199,Monasterio de Las Vinas,2016,6506050,Special Selection Old Vine Cariñena 2016,3.5,1725,12.0,España,Cariñena
8200,Covila,2018,1322231,II Reserva 2018,4.1,91,11.95,España,Rioja
8201,Bodegas Valdelana,2019,1173873,Familia Valdelana Reserva 2019,4.1,35,11.95,España,Rioja
8202,Montecillo,2016,1100225,Reserva 2016,3.9,324,11.95,España,Rioja
8203,Ramón Bilbao,2018,77022,Rioja Reserva (Tempranillo) 2018,4.1,2403,11.95,España,Rioja
8204,Matsu,2022,1136746,El Recio 2022,4.0,501,11.96,España,Toro
8205,Lafou,2019,2040817,El Sender 2019,3.9,640,11.98,España,Terra Alta
8206,Bodegas Valdemar,2016,15488,Conde de Valdemar Reserva 2016,3.9,363,11.99,España,Rioja
8207,Sangenís I Vaqué,2023,3495874,Garbinada 2023,3.6,403,11.99,España,Priorato
8208,Tianna Negre,2022,2543685,Km.1 Tinto 2022,3.5,208,11.99,España,Plà i Llevant
8209,Mas Oller,2023,1177915,Pur 2023,3.7,2452,11.99,España,Cataluña
8210,Solergibert,2019,1638099,Reserva Merlot 2019,3.6,130,11.99,España,Pla de Bages
8211,Juan Gil,2021,5282020,Jumilla Silver Label 2021,4.0,3489,11.99,España,Jumilla
8212,Domblasco,2016,3052036,Tinto 2016,3.7,59,12.0,España,Extremadura
8213,Bodegas Valparaíso,2021,1187536,Crianza 2021,3.9,102,12.0,España,Ribera del Duero
8214,Bodegas Peñafiel,2021,8929613,Alma Serena Crianza 2021,4.1,26,12.0,España,Ribera del Duero
8215,Familia Torres,2021,2651,Atrium Merlot 2021,3.8,159,12.0,España,Penedès
8216,Bodegas Cosme Palacio,2018,2328702,Glorioso Rioja Reserva 2018,4.0,666,12.0,España,Rioja
8217,Coca i Fitó,2019,1496156,Tocat de l'Ala Negre 2019,3.9,178,12.0,España,Empordà
8218,Jiménez-Landi,2021,6587498,El Corralon 2021,3.9,183,12.0,España,Méntrida
8219,Fabregas,2020,6411375,Familia Moristel 2020,3.6,25,12.0,España,Somontano
8220,Azul y Garanza,2019,2655286,Seis 2019,3.9,25,12.0,España,Navarra
8221,Clos Galena,2020,11077460,Moments del Montsant 2020,3.8,126,12.0,España,Montsant
8222,Hermanos Peciña,2018,1146401,Señorío de P. Peciña Crianza 2018,3.9,123,12.0,España,Rioja
8223,Bodegas Garcia de Lara,2021,12229018,Finca Villalobillos Tinto de la Pampana Blanca 2021,3.6,37,12.0,España,Castilla
8224,Monasterio de Las Vinas,2016,6506050,Special Selection Old Vine Cariñena 2016,3.5,1725,12.0,España,Cariñena
8225,Covila,2018,1322231,II Reserva 2018,4.1,91,11.95,España,Rioja
8226,Montecillo,2016,1100225,Reserva 2016,3.9,324,11.95,España,Rioja
8227,Bodegas Valdelana,2019,1173873,Familia Valdelana Reserva 2019,4.1,35,11.95,España,Rioja
8228,Ramón Bilbao,2018,77022,Rioja Reserva (Tempranillo) 2018,4.1,2403,11.95,España,Rioja
8229,Matsu,2022,1136746,El Recio 2022,4.0,501,11.96,España,Toro
8230,Lafou,2019,2040817,El Sender 2019,3.9,640,11.98,España,Terra Alta
8231,Bodegas Valdemar,2016,15488,Conde de Valdemar Reserva 2016,3.9,363,11.99,España,Rioja
8232,Sangenís I Vaqué,2023,3495874,Garbinada 2023,3.6,403,11.99,España,Priorato
8233,Tianna Negre,2022,2543685,Km.1 Tinto 2022,3.5,208,11.99,España,Plà i Llevant
8234,Mas Oller,2023,1177915,Pur 2023,3.7,2452,11.99,España,Cataluña
8235,Solergibert,2019,1638099,Reserva Merlot 2019,3.6,130,11.99,España,Pla de Bages
8236,Juan Gil,2021,5282020,Jumilla Silver Label 2021,4.0,3489,11.99,España,Jumilla
8237,Domblasco,2016,3052036,Tinto 2016,3.7,59,12.0,España,Extremadura
8238,Bodegas Peñafiel,2021,8929613,Alma Serena Crianza 2021,4.1,26,12.0,España,Ribera del Duero
8239,Bodegas Valparaíso,2021,1187536,Crianza 2021,3.9,102,12.0,España,Ribera del Duero
8240,Familia Torres,2021,2651,Atrium Merlot 2021,3.8,159,12.0,España,Penedès
8241,Bodegas Cosme Palacio,2018,2328702,Glorioso Rioja Reserva 2018,4.0,666,12.0,España,Rioja
8242,Coca i Fitó,2019,1496156,Tocat de l'Ala Negre 2019,3.9,178,12.0,España,Empordà
8243,Jiménez-Landi,2021,6587498,El Corralon 2021,3.9,183,12.0,España,Méntrida
8244,Fabregas,2020,6411375,Familia Moristel 2020,3.6,25,12.0,España,Somontano
8245,Azul y Garanza,2019,2655286,Seis 2019,3.9,25,12.0,España,Navarra
8246,Clos Galena,2020,11077460,Moments del Montsant 2020,3.8,126,12.0,España,Montsant
8247,Hermanos Peciña,2018,1146401,Señorío de P. Peciña Crianza 2018,3.9,123,12.0,España,Rioja
8248,Bodegas Garcia de Lara,2021,12229018,Finca Villalobillos Tinto de la Pampana Blanca 2021,3.6,37,12.0,España,Castilla
8249,Monasterio de Las Vinas,2016,6506050,Special Selection Old Vine Cariñena 2016,3.5,1725,12.0,España,Cariñena
8250,Covila,2018,1322231,II Reserva 2018,4.1,91,11.95,España,Rioja
8251,Bodegas Valdelana,2019,1173873,Familia Valdelana Reserva 2019,4.1,35,11.95,España,Rioja
8252,Montecillo,2016,1100225,Reserva 2016,3.9,324,11.95,España,Rioja
8253,Ramón Bilbao,2018,77022,Rioja Reserva (Tempranillo) 2018,4.1,2403,11.95,España,Rioja
8254,Matsu,2022,1136746,El Recio 2022,4.0,501,11.96,España,Toro
8255,Lafou,2019,2040817,El Sender 2019,3.9,640,11.98,España,Terra Alta
8256,Bodegas Valdemar,2016,15488,Conde de Valdemar Reserva 2016,3.9,363,11.99,España,Rioja
8257,Sangenís I Vaqué,2023,3495874,Garbinada 2023,3.6,403,11.99,España,Priorato
8258,Tianna Negre,2022,2543685,Km.1 Tinto 2022,3.5,208,11.99,España,Plà i Llevant
8259,Mas Oller,2023,1177915,Pur 2023,3.7,2452,11.99,España,Cataluña
8260,Solergibert,2019,1638099,Reserva Merlot 2019,3.6,130,11.99,España,Pla de Bages
8261,Juan Gil,2021,5282020,Jumilla Silver Label 2021,4.0,3489,11.99,España,Jumilla
8262,Domblasco,2016,3052036,Tinto 2016,3.7,59,12.0,España,Extremadura
8263,Bodegas Valparaíso,2021,1187536,Crianza 2021,3.9,102,12.0,España,Ribera del Duero
